basin_id,kge,violation_burden,dominant_class,violation_counts,n_evaluable,aridity_class,landcover_class
01013500,0.8048343742968241,0.08495119895010386,TimingFailure,"{'R0': 0, 'R1': 14, 'R2': 0, 'R3': 322, 'R4': 8, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01022500,0.7557485144156364,0.07733076074014202,TimingFailure,"{'R0': 51, 'R1': 224, 'R2': 11, 'R3': 123, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01030500,0.827096672840289,0.10877549778809133,TimingFailure,"{'R0': 0, 'R1': 150, 'R2': 0, 'R3': 1465, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01031500,0.8483195942719399,0.10498266106953823,TimingFailure,"{'R0': 4, 'R1': 61, 'R2': 0, 'R3': 674, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01047000,0.8808023812804314,0.07289825220104469,TimingFailure,"{'R0': 3, 'R1': 19, 'R2': 0, 'R3': 217, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01052500,0.8241719680959019,0.07905161699649745,TimingFailure,"{'R0': 0, 'R1': 18, 'R2': 0, 'R3': 457, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01054200,0.7207483744285856,0.094181246143283,TimingFailure,"{'R0': 0, 'R1': 29, 'R2': 0, 'R3': 661, 'R4': 8, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01055000,0.6492862159904357,0.09244126926185696,TimingFailure,"{'R0': 0, 'R1': 37, 'R2': 0, 'R3': 221, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01057000,0.8428019327729449,0.06433221216940874,TimingFailure,"{'R0': 0, 'R1': 52, 'R2': 0, 'R3': 589, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01073000,0.8737381456551775,0.05670482100487576,TimingFailure,"{'R0': 14, 'R1': 96, 'R2': 0, 'R3': 969, 'R4': 3, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01078000,0.8453896138270862,0.0761053024969798,TimingFailure,"{'R0': 0, 'R1': 15, 'R2': 0, 'R3': 347, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01118300,0.7904506156544738,0.07094794844384186,TimingFailure,"{'R0': 0, 'R1': 251, 'R2': 0, 'R3': 1009, 'R4': 4, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01121000,0.7213065460393704,0.03834206798251332,TimingFailure,"{'R0': 13, 'R1': 211, 'R2': 0, 'R3': 516, 'R4': 2, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01123000,0.7764911721362566,0.038401168096367955,TimingFailure,"{'R0': 17, 'R1': 172, 'R2': 22, 'R3': 166, 'R4': 3, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01134500,0.8287639821741156,0.04589123840812105,TimingFailure,"{'R0': 0, 'R1': 21, 'R2': 0, 'R3': 278, 'R4': 4, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01137500,0.7710933200663671,0.06053242249628452,TimingFailure,"{'R0': 0, 'R1': 5, 'R2': 0, 'R3': 125, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01139000,0.8379034578829502,0.07036911497579502,TimingFailure,"{'R0': 0, 'R1': 8, 'R2': 0, 'R3': 134, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01139800,0.7962324841662082,0.11665145707854231,TimingFailure,"{'R0': 0, 'R1': 39, 'R2': 0, 'R3': 417, 'R4': 11, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01142500,0.8017910117337603,0.07096185435298412,TimingFailure,"{'R0': 0, 'R1': 16, 'R2': 0, 'R3': 514, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01144000,0.8799438188889427,0.07107310162612225,TimingFailure,"{'R0': 0, 'R1': 2, 'R2': 0, 'R3': 167, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01162500,0.6811174396035784,0.08387522923022102,TimingFailure,"{'R0': 0, 'R1': 63, 'R2': 0, 'R3': 597, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01169000,0.737629831563167,0.05171259962280221,TimingFailure,"{'R0': 0, 'R1': 10, 'R2': 0, 'R3': 147, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01170100,0.7960638081120183,0.06327014835866816,TimingFailure,"{'R0': 0, 'R1': 13, 'R2': 0, 'R3': 222, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01181000,0.7020629478202891,0.05750093430327049,TimingFailure,"{'R0': 0, 'R1': 8, 'R2': 0, 'R3': 371, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01187300,0.6552246272946438,0.11849572827853536,TimingFailure,"{'R0': 23, 'R1': 142, 'R2': 0, 'R3': 727, 'R4': 10, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01195100,0.7407882787005902,0.10578176853174896,MagnitudeFailure,"{'R0': 5, 'R1': 743, 'R2': 1, 'R3': 1838, 'R4': 4, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5460, 'R2': 5479, 'R3': 5460, 'R4': 15, 'R5': 15, 'R6': 15}",,
01333000,0.6737696826117411,0.0910332959612025,TimingFailure,"{'R0': 0, 'R1': 9, 'R2': 0, 'R3': 195, 'R4': 9, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
01350000,0.6940161270614479,0.08817041691653847,TimingFailure,"{'R0': 0, 'R1': 43, 'R2': 0, 'R3': 1147, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
